game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2019_08_NYG_DET,2019,8,2019-10-27,NYG,-0.022847503095200998,0.08199741583661839,68,-0.16967199082574852,-0.017340244700742084,60.2
2019_09_DAL_NYG,2019,9,2019-11-04,NYG,-0.24212017557993187,0.10684677595332182,68,-0.19727879349361205,-0.023951207604522077,61.6
2019_10_NYG_NYJ,2019,10,2019-11-10,NYG,-0.06422993597493577,0.0050613771418247,65,-0.24246951157155766,0.1072225323323952,62.0
2019_12_NYG_CHI,2019,12,2019-11-24,NYG,-0.25612314022647853,-0.1439217204522909,58,-0.21471042228920312,0.0406195508028445,62.6
2019_13_GB_NYG,2019,13,2019-12-01,NYG,-0.10737003856605745,0.2600532643097611,64,-0.15588548567896052,0.026428217441906477,64.8
2019_14_NYG_PHI,2019,14,2019-12-09,NYG,-0.10346620956426968,-0.005198175729112463,51,-0.13853815868852096,0.06200742255784704,64.6
2019_15_MIA_NYG,2019,15,2019-12-15,NYG,0.06365010784273702,-0.06955789895185308,63,-0.15466189998233468,0.04456830424470086,61.2
2019_16_NYG_WAS,2019,16,2019-12-22,NYG,0.45868930207793057,0.14942702074681144,69,-0.0935078432978009,0.009287369263665888,60.2
2019_17_PHI_NYG,2019,17,2019-12-29,NYG,-0.24868925686659882,0.06749498115519653,72,0.011076004312772359,0.038160497984663234,61.0
2020_01_PIT_NYG,2020,1,2020-09-14,NYG,-0.1434779100501013,0.18460462285427603,64,0.012562780984748301,0.08044383830616073,63.8
2020_02_NYG_CHI,2020,2,2020-09-20,NYG,-0.1032314401348984,-0.01531879420094678,60,0.005341206687939531,0.06535411001506371,63.8
2020_03_SF_NYG,2020,3,2020-09-27,NYG,-0.3217601194569244,0.31481234872345776,49,0.0053881605738137885,0.06332998632069685,65.6
2020_04_NYG_LA,2020,4,2020-10-04,NYG,-0.1758647372767572,-0.1003159754807771,66,-0.0716938848861185,0.14020403585575902,62.8
2020_05_NYG_DAL,2020,5,2020-10-11,NYG,0.0024689998266440943,0.02921063702749528,62,-0.19860469275705606,0.09025543661024131,62.2
2020_06_WAS_NYG,2020,6,2020-10-18,NYG,-0.0024850338178449586,-0.0055720883321055,44,-0.14837304141840746,0.08259856778470107,60.2
2020_07_NYG_PHI,2020,7,2020-10-22,NYG,-0.05400586133085502,0.0353678724814659,54,-0.12017446617195619,0.04456322554742475,56.2
2020_08_TB_NYG,2020,8,2020-11-02,NYG,0.03448983227267914,0.027287460682526733,69,-0.11032935041114751,0.05470055888390729,55.0
2020_09_NYG_WAS,2020,9,2020-11-08,NYG,0.04450346805409728,-0.0099174302746054,71,-0.03907936006522681,-0.002804418724278914,59.0
2020_10_PHI_NYG,2020,10,2020-11-15,NYG,0.2045110852614163,0.06865771380732429,65,0.004994281000944086,0.015275290316955426,60.0
2020_12_NYG_CIN,2020,12,2020-11-29,NYG,0.03092515119831422,-0.38586403447453205,78,0.04540269808789853,0.023164705672921226,60.6
2020_13_NYG_SEA,2020,13,2020-12-06,NYG,-0.04566305986637896,-0.24316927214134068,55,0.05208473509113036,-0.052893683555564085,67.4
2020_14_ARI_NYG,2020,14,2020-12-13,NYG,-0.3717806302070409,0.04675627736972642,49,0.05375329538402557,-0.10860111248012541,67.6
2020_15_CLE_NYG,2020,15,2020-12-20,NYG,-0.06219609487330499,0.26144088830129936,53,-0.027500797111918433,-0.10470734914268547,63.6
2020_16_NYG_BAL,2020,16,2020-12-27,NYG,-0.05379379059737427,0.26424605413916047,59,-0.048840709697398885,-0.050435685427504526,60.0
2020_17_DAL_NYG,2020,17,2021-01-03,NYG,-0.027793187028878966,-0.1009629799477066,52,-0.10050168486915698,-0.011318017361137278,58.8
2021_01_DEN_NYG,2021,1,2021-09-12,NYG,-0.02885460048472803,0.2814392715579317,57,-0.11224535251459564,0.04566219354422781,53.6
2021_02_NYG_WAS,2021,2,2021-09-16,NYG,0.08013777259517686,0.09911073908838246,63,-0.10888366063826545,0.1505839022840823,54.0
